time_sec,stance
9.7,Left-Handed
9.7,Left-Handed
9.8,Left-Handed
9.8,Left-Handed
9.8,Left-Handed
9.9,Left-Handed
9.9,Left-Handed
9.9,Left-Handed
10.0,Left-Handed
10.0,Left-Handed
10.0,Left-Handed
10.1,Left-Handed
10.1,Left-Handed
10.1,Left-Handed
10.2,Left-Handed
10.2,Left-Handed
10.2,Left-Handed
10.3,Left-Handed
10.3,Left-Handed
10.3,Left-Handed
10.4,Left-Handed
10.4,Left-Handed
10.4,Left-Handed
10.5,Left-Handed
10.5,Left-Handed
10.5,Left-Handed
10.6,Left-Handed
10.6,Left-Handed
10.6,Left-Handed
10.7,Left-Handed
10.7,Left-Handed
10.7,Left-Handed
10.8,Left-Handed
10.8,Left-Handed
10.8,Left-Handed
10.9,Left-Handed
10.9,Left-Handed
10.9,Left-Handed
11.0,Left-Handed
11.0,Left-Handed
11.0,Left-Handed
11.1,Left-Handed
11.1,Left-Handed
11.1,Left-Handed
11.2,Left-Handed
11.2,Left-Handed
11.2,Left-Handed
11.3,Left-Handed
11.3,Left-Handed
11.3,Left-Handed
11.4,Left-Handed
11.4,Left-Handed
11.4,Left-Handed
11.5,Left-Handed
11.5,Left-Handed
11.5,Left-Handed
11.6,Left-Handed
11.6,Left-Handed
11.6,Left-Handed
11.7,Left-Handed
11.7,Left-Handed
11.7,Left-Handed
11.8,Left-Handed
11.8,Left-Handed
11.8,Left-Handed
11.9,Left-Handed
11.9,Right-Handed
11.9,Right-Handed
12.0,Right-Handed
12.0,Right-Handed
12.0,Right-Handed
12.1,Right-Handed
12.1,Right-Handed
12.1,Right-Handed
12.2,Right-Handed
12.2,Right-Handed
12.2,Right-Handed
12.3,Right-Handed
12.3,Right-Handed
12.3,Right-Handed
12.4,Right-Handed
12.4,Right-Handed
12.4,Right-Handed
12.5,Right-Handed
12.5,Right-Handed
12.5,Right-Handed
12.6,Right-Handed
12.6,Right-Handed
12.6,Right-Handed
12.7,Right-Handed
12.7,Right-Handed
12.7,Right-Handed
12.8,Right-Handed
12.8,Right-Handed
12.8,Left-Handed
12.9,Left-Handed
12.9,Left-Handed
12.9,Left-Handed
13.0,Left-Handed
13.0,Left-Handed
13.0,Left-Handed
13.1,Left-Handed
13.1,Left-Handed
13.1,Left-Handed
13.2,Left-Handed
13.2,Left-Handed
13.2,Left-Handed
13.3,Left-Handed
13.3,Left-Handed
13.3,Left-Handed
13.4,Left-Handed
13.4,Left-Handed
